Generation Label,Generation Class,Structure,output_labels
0,0,background,0
14,1,3rd ventricle,14
15,1,4th ventricle,15
16,10,brain-stem,16
24,1,CSF,24
2,2,left cerebral white matter,2
3,3,left cerebral cortex,3
4,1,left lateral ventricle,4
5,1,left inferior lateral ventricle,5
7,4,left cerebellum white matter,7
8,5,left cerebellum cortex,8
10,6,left thalamus,10
11,7,left caudate,11
12,8,left putamen,12
13,9,left pallidum,13
17,11,left hippocampus,17
18,12,left amygdala,18
26,13,left accumbens area,26
28,14,left ventral DC,28
41,2,right cerebral white matter,41
42,3,right cerebral cortex,42
43,1,right lateral ventricle,43
44,1,right inferior lateral ventricle,44
46,4,right cerebellum white matter,46
47,5,right cerebellum cortex,47
49,6,right thalamus,49
50,7,right caudate,50
51,8,right putamen,51
52,9,right pallidum,52
53,11,right hippocampus,53
54,12,right amygdala,54
58,13,right accumbens area,58
60,14,right ventral DC,60
